"GEOCODE_FEATURE_CODE","GEOCODE_FEATURE","DESCRIPTION","UFI","UFI_CREATED"
"E","ENTRANCE","Entrance Point Address",10000078,20080228
"V","VIRTUAL","Virtual Point Address",10000079,20080228
