PARISH_CODE,PARISH,UFI,UFI_CREATED
3532,TALLAROOK,       10008998,2008/02/28
3533,TALLYGAROOPNA,       10008999,2008/02/28
3535,TAMBOON,       10009001,2008/02/28
3536,TAMBORITHA,       10009002,2008/02/28
3537,TAMINICK,       10009003,2008/02/28
3538,TAMLEUGH,       10009004,2008/02/28
3539,TANDAROOK,       10009005,2008/02/28
3541,TANGAMBALANGA,       10009007,2008/02/28
3542,TANJIL,       10009008,2008/02/28
3543,TANJIL EAST,       10009009,2008/02/28
3544,TAPAROO,       10009010,2008/02/28
3545,TAPONGA,       10009011,2008/02/28
3547,TARCOMBE,       10009013,2008/02/28
3548,TARIPTA,       10009014,2008/02/28
3549,TARKEETH,       10009015,2008/02/28
3550,TARLDARN,       10009016,2008/02/28
3551,TARNAGULLA,       10009017,2008/02/28
3553,TARRAGAL,       10009019,2008/02/28
3554,TARRANGINNIE,       10009020,2008/02/28
3555,TARRANGO,       10009021,2008/02/28
3556,TARRANYURK,       10009022,2008/02/28
3557,TARRA TARRA,       10009023,2008/02/28
3559,TARRAWARRA NORTH,       10009025,2008/02/28
3560,TARRAWINGEE,       10009026,2008/02/28
3561,TARRAYOUKYAN,       10009027,2008/02/28
3562,TARRENGOWER,       10009028,2008/02/28
3563,TARWIN,       10009029,2008/02/28
3564,TARWIN SOUTH,       10009030,2008/02/28
3566,TATONGA,       10009032,2008/02/28
3567,TATYOON,       10009033,2008/02/28
3568,TAWANGA,       10009034,2008/02/28
3569,TCHIRREE,       10009035,2008/02/28
3570,TCHUTERR,       10009036,2008/02/28
3572,TELANGATUK,       10009038,2008/02/28
3573,TELBIT,       10009039,2008/02/28
3574,TELBIT WEST,       10009040,2008/02/28
3575,TERANG,       10009041,2008/02/28
3576,TERLITE-MUNJIE,       10009042,2008/02/28
3577,TERRAPPEE,       10009043,2008/02/28
3579,TERRICK TERRICK WEST,       10009045,2008/02/28
3580,TERRINALLUM,       10009046,2008/02/28
3581,THALIA,       10009047,2008/02/28
3582,THARANBEGGA,       10009048,2008/02/28
3583,THEDDORA,       10009049,2008/02/28
3584,THOLOGOLONG,       10009050,2008/02/28
3585,THORKIDAAN,       10009051,2008/02/28
3586,THORNLEY,       10009052,2008/02/28
3587,THORNTON,       10009053,2008/02/28
3589,THURRA,       10009055,2008/02/28
3590,TIEGA,       10009056,2008/02/28
3591,TILDESLEY EAST,       10009057,2008/02/28
3592,TILDESLEY WEST,       10009058,2008/02/28
3593,TIMBARRA,       10009059,2008/02/28
3595,TIMBOON,       10009061,2008/02/28
3596,TIMMERING,       10009062,2008/02/28
3597,TINAMBA,       10009063,2008/02/28
3598,TINGARINGY,       10009064,2008/02/28
3599,TINTALDRA,       10009065,2008/02/28
3601,TOLTOL,       10009067,2008/02/28
3602,TONGALA,       10009068,2008/02/28
3603,TONGARO,       10009069,2008/02/28
3604,TONG BONG,       10009070,2008/02/28
3605,TONGHI,       10009071,2008/02/28
3606,TONGIO-MUNJIE EAST,       10009072,2008/02/28
3608,TONIMBUK,       10009074,2008/02/28
3609,TONIMBUK EAST,       10009075,2008/02/28
3610,TOOAN,       10009076,2008/02/28
3611,TOOBORAC,       10009077,2008/02/28
3612,TOOLAMBA,       10009078,2008/02/28
3614,TOOLANG,       10009080,2008/02/28
3616,TOOLKA,       10009082,2008/02/28
3619,TOOLONDO,       10009085,2008/02/28
3624,TOOMBULLUP NORTH,       10009090,2008/02/28
3626,TOONGABBIE NORTH,       10009092,2008/02/28
3628,TOONGINBOOKA,       10009094,2008/02/28
3631,TOORAK,       10009097,2008/02/28
3634,TOOROURRONG,       10009100,2008/02/28
3639,TOWAMBA,       10009105,2008/02/28
3642,TOWANWAY,       10009108,2008/02/28
3646,TRAGOWEL,       10009112,2008/02/28
3648,TRAWALLA,       10009114,2008/02/28
3651,TRUGANINA,       10009117,2008/02/28
3654,TULLAMARINE,       10009120,2008/02/28
3660,TURKEETH,       10009126,2008/02/28
3663,TURRUMBERRY NORTH,       10009129,2008/02/28
3665,TUTYE,       10009131,2008/02/28
3668,TYALLA,       10009134,2008/02/28
3672,TYIRRA,       10009138,2008/02/28
3677,TYRENDARRA,       10009143,2008/02/28
3680,ULUPNA,       10009146,2008/02/28
3683,UNDOWAH,       10009149,2008/02/28
3685,URANGARA,       10009151,2008/02/28
3687,VITE VITE,       10009153,2008/02/28
3690,WAARRE,       10009156,2008/02/28
3693,WABONGA,       10009159,2008/02/28
3698,WAGRA,       10009164,2008/02/28
3700,WAIL,       10009166,2008/02/28
3703,WALHALLA EAST,       10009169,2008/02/28
3706,WALLALOO,       10009172,2008/02/28
3708,WALLA WALLA,       10009174,2008/02/28
3714,WALPA,       10009180,2008/02/28
3717,WALWA,       10009183,2008/02/28
3720,WANDILIGONG,       10009186,2008/02/28
3722,WANDO,       10009188,2008/02/28
3725,WANGARATTA NORTH,       10009191,2008/02/28
3727,WANGERRIP,       10009193,2008/02/28
3732,WANWANDYRA,       10009198,2008/02/28
3735,WARANGA,       10009201,2008/02/28
3738,WARBURTON,       10009204,2008/02/28
3741,WARINA,       10009207,2008/02/28
3744,WARRABKOOK,       10009210,2008/02/28
3749,WARRAIN,       10009215,2008/02/28
3752,WARRAMBINE,       10009218,2008/02/28
3754,WARRANOOK,       10009220,2008/02/28
3757,WARRAYURE,       10009223,2008/02/28
3759,WARRENBAYNE,       10009225,2008/02/28
3762,WARRIMOO,       10009228,2008/02/28
3764,WARROCK,       10009230,2008/02/28
3770,WATCHEGATCHECA,       10009236,2008/02/28
3772,WATCHUPGA,       10009238,2008/02/28
3775,WATGANIA WEST,       10009241,2008/02/28
3778,WAT WAT,       10009244,2008/02/28
3781,WAYGARA,       10009247,2008/02/28
3785,WEERAGUA,       10009251,2008/02/28
3787,WEERING,       10009253,2008/02/28
3790,WELSHPOOL,       10009256,2008/02/28
3794,WENTWORTH,       10009260,2008/02/28
3796,WERRAP,       10009262,2008/02/28
3799,WERRIKOO,       10009265,2008/02/28
3801,WESTON,       10009267,2008/02/28
3807,WHITFIELD,       10009273,2008/02/28
3809,WHOOREL,       10009275,2008/02/28
3811,WHROO,       10009277,2008/02/28
3814,WICKLIFFE NORTH,       10009280,2008/02/28
3816,WILGUL NORTH,       10009282,2008/02/28
3818,WILHELMINA,       10009284,2008/02/28
3825,WILLAURA,       10009291,2008/02/28
3827,WILLOBY,       10009293,2008/02/28
3829,WILLS,       10009295,2008/02/28
3832,WINDERMERE,       10009298,2008/02/28
3834,WINDHAM,       10009300,2008/02/28
3837,WING WING,       10009303,2008/02/28
3840,WINNAMBOOL,       10009306,2008/02/28
3842,WINTERIGA,       10009308,2008/02/28
3846,WIRCHILLEBA,       10009312,2008/02/28
3848,WIRMBIRCHIP,       10009314,2008/02/28
3851,WIRRBIBIAL,       10009317,2008/02/28
3854,WODONGA,       10009320,2008/02/28
3856,WOLLONABY,       10009322,2008/02/28
3859,WONDOOMAROOK,       10009325,2008/02/28
3862,WONGA WONGA,       10009328,2008/02/28
3864,WONGUNGARRA,       10009330,2008/02/28
3866,WONTHAGGI,       10009332,2008/02/28
3868,WONWONDAH,       10009334,2008/02/28
3871,WOODBOURNE,       10009337,2008/02/28
3874,WOODSIDE,       10009340,2008/02/28
3876,WOOHLPOOER,       10009342,2008/02/28
3879,WOOLENOOK,       10009345,2008/02/28
3881,WOOLWOOLA,       10009347,2008/02/28
3883,WOONGULMERANG WEST,       10009349,2008/02/28
3886,WOORINEN,       10009352,2008/02/28
3888,WOORI YALLOCK,       10009354,2008/02/28
3891,WOORNYALOOK,       10009357,2008/02/28
3893,WOORRAGEE,       10009359,2008/02/28
3895,WOOSANG,       10009361,2008/02/28
3898,WORAIGWORM,       10009364,2008/02/28
3901,WORMBETE,       10009367,2008/02/28
3904,WORROWING,       10009370,2008/02/28
3906,WRATHUNG,       10009372,2008/02/28
3909,WULLA WULLOCK,       10009375,2008/02/28
3912,WURROOK,       10009378,2008/02/28
3914,WURUTWUN,       10009380,2008/02/28
3917,WYCHITELLA,       10009383,2008/02/28
3919,WYELANGTA,       10009385,2008/02/28
3922,WYTWALLAN,       10009388,2008/02/28
3925,WY-YUNG,       10009391,2008/02/28
3928,YABBA YABBA,       10009394,2008/02/28
3931,YALIMBA,       10009397,2008/02/28
3933,YALLAKAR,       10009399,2008/02/28
3935,YALLOCK,       10009401,2008/02/28
3939,YALOAK,       10009405,2008/02/28
3942,YAMBUK,       10009408,2008/02/28
3944,YANAC-A-YANAC,       10009410,2008/02/28
3947,YANDOIT,       10009413,2008/02/28
3949,YANGERAHWILL,       10009415,2008/02/28
3952,YANIPY,       10009418,2008/02/28
3954,YAN YAN GURT,       10009420,2008/02/28
3958,YARCK,       10009424,2008/02/28
3961,YARRABERB,       10009427,2008/02/28
3963,YARRAM YARRAM,       10009429,2008/02/28
3966,YARRARA,       10009432,2008/02/28
3968,YARRAYNE,       10009434,2008/02/28
3971,YARROWEE,       10009437,2008/02/28
3973,YATCHAW EAST,       10009439,2008/02/28
3975,YATMERONE,       10009441,2008/02/28
3978,YAUGHER,       10009444,2008/02/28
3982,YEERUNG,       10009448,2008/02/28
3985,YELTA,       10009451,2008/02/28
3988,YERING,       10009454,2008/02/28
3991,YEUNGROON,       10009457,2008/02/28
3994,YONDUK,       10009460,2008/02/28
3997,YOUARRABUK,       10009463,2008/02/28
3999,YOUPELLA,       10009465,2008/02/28
4002,YUNGERA,       10009468,2008/02/28
4005,YUROKE,       10009471,2008/02/28
2118,BENGWORDEN,       10007584,2008/02/28
2119,BENGWORDEN SOUTH,       10007585,2008/02/28
2121,BEOLITE,       10007587,2008/02/28
2123,BEREMBOKE,       10007589,2008/02/28
2125,BERRIMAL,       10007591,2008/02/28
2126,BERRINGA,       10007592,2008/02/28
2128,BERRIWILLOCK,       10007594,2008/02/28
2130,BERROOK,       10007596,2008/02/28
2131,BERWICK,       10007597,2008/02/28
2133,BET BET,       10007599,2008/02/28
2134,BETE BOLONG NORTH,       10007600,2008/02/28
2136,BETKA,       10007602,2008/02/28
2138,BEYAL,       10007604,2008/02/28
2139,BIDWELL,       10007605,2008/02/28
2141,BIG DESERT,       10007607,2008/02/28
2142,BIL-BIL-WYT,       10007608,2008/02/28
2144,BILLIAN,       10007610,2008/02/28
2146,BILPAH,       10007612,2008/02/28
2147,BIMBOURIE,       10007613,2008/02/28
2149,BINGINWARRI,       10007615,2008/02/28
2150,BINGO-MUNJIE,       10007616,2008/02/28
2152,BINGO-MUNJIE SOUTH,       10007618,2008/02/28
2155,BIRREGUN,       10007621,2008/02/28
2156,BIRREGURRA,       10007622,2008/02/28
2158,BITTERANG,       10007624,2008/02/28
2159,BITTERN,       10007625,2008/02/28
2161,BOCHARA,       10007627,2008/02/28
2162,BOGA,       10007628,2008/02/28
2164,BOGONG NORTH,       10007630,2008/02/28
2166,BOHO,       10007632,2008/02/28
2167,BOIGBEAT,       10007633,2008/02/28
2168,BOIKERBERT,       10007634,2008/02/28
2170,BOLAIRA,       10007636,2008/02/28
2172,BOLERCH,       10007638,2008/02/28
2173,BOLGA,       10007639,2008/02/28
2175,BOLWARRA,       10007641,2008/02/28
2176,BONANG,       10007642,2008/02/28
2178,BONEGILLA,       10007644,2008/02/28
2179,BONN,       10007645,2008/02/28
2180,BONTHERAMBO,       10007646,2008/02/28
2182,BOOLA BOLOKE,       10007648,2008/02/28
2184,BOOLE POOLE,       10007650,2008/02/28
2186,BOOMAHNOOMOONAH,       10007652,2008/02/28
2188,BOONAHWAH,       10007654,2008/02/28
2190,BOORAN,       10007656,2008/02/28
2191,BOORGUNYAH,       10007657,2008/02/28
2193,BOORLEE,       10007659,2008/02/28
2194,BOOROLITE,       10007660,2008/02/28
2196,BOORONGIE,       10007662,2008/02/28
2198,BOORPOOL,       10007664,2008/02/28
2199,BOORPUK,       10007665,2008/02/28
2201,BOOSEY,       10007667,2008/02/28
2202,BOOTAHPOOL,       10007668,2008/02/28
2204,BOREANG EAST,       10007670,2008/02/28
2206,BORHONEYGHURK,       10007672,2008/02/28
2208,BOROKA,       10007674,2008/02/28
2209,BOROONDARA,       10007675,2008/02/28
2211,BORUNG,       10007677,2008/02/28
2212,BOULKA,       10007678,2008/02/28
2214,BOWEYA,       10007680,2008/02/28
2215,BOW-WORRUNG,       10007681,2008/02/28
2217,BRALAK,       10007683,2008/02/28
2218,BRAMBURRA,       10007684,2008/02/28
2220,BRANJEE,       10007686,2008/02/28
2221,BRANKEET,       10007687,2008/02/28
2223,BRENANAH,       10007689,2008/02/28
2224,BREWSTER,       10007690,2008/02/28
2226,BRIDGEWATER,       10007692,2008/02/28
2228,BRIMBOAL,       10007694,2008/02/28
2229,BRIMBONGA,       10007695,2008/02/28
2231,BRIMIN,       10007697,2008/02/28
2232,BRINDAT,       10007698,2008/02/28
2234,BRIT BRIT,       10007700,2008/02/28
2236,BROADLANDS,       10007702,2008/02/28
2237,BROADWATER,       10007703,2008/02/28
2239,BRUARONG,       10007705,2008/02/28
2241,BRUK BRUK,       10007707,2008/02/28
2242,BRUTHEN,       10007708,2008/02/28
2244,BUCHAN,       10007710,2008/02/28
2245,BUCKENDERRA,       10007711,2008/02/28
2247,BUCKLAND,       10007713,2008/02/28
2249,BUDGEE BUDGEE,       10007715,2008/02/28
2250,BUDGEREE,       10007716,2008/02/28
2252,BUDGERUM WEST,       10007718,2008/02/28
2254,BULBAN,       10007720,2008/02/28
2255,BULGA,       10007721,2008/02/28
2257,BULGANA,       10007723,2008/02/28
2258,BULLA BULLA,       10007724,2008/02/28
2260,BULLANBUL,       10007726,2008/02/28
2262,BULLARTO,       10007728,2008/02/28
2263,BULLAWIN,       10007729,2008/02/28
2265,BULLENGAROOK,       10007731,2008/02/28
2267,BULLUMWAAL,       10007733,2008/02/28
2268,BULLUNG,       10007734,2008/02/28
2270,BUMBERRAH,       10007736,2008/02/28
2272,BUNDALONG,       10007738,2008/02/28
2273,BUNDARA-MUNJIE,       10007739,2008/02/28
2275,BUNGAL,       10007741,2008/02/28
2277,BUNGAMERO,       10007743,2008/02/28
2278,BUNGANAIL,       10007744,2008/02/28
2280,BUNG BONG,       10007746,2008/02/28
2282,BUNGEET,       10007748,2008/02/28
2283,BUNGIL,       10007749,2008/02/28
2284,BUNGIL EAST,       10007750,2008/02/28
2286,BUNGYWARR,       10007752,2008/02/28
2288,BUNNUGAL,       10007754,2008/02/28
2289,BUNUROUK,       10007755,2008/02/28
2291,BURAGWONDUC,       10007757,2008/02/28
2293,BURKE,       10007759,2008/02/28
2294,BURNELL,       10007760,2008/02/28
2296,BURRA,       10007762,2008/02/28
2297,BURRAH BURRAH,       10007763,2008/02/28
2299,BURRAMBOOT EAST,       10007765,2008/02/28
2301,BURRONG NORTH,       10007767,2008/02/28
2303,BURROWYE,       10007769,2008/02/28
2305,BURRUMBEET,       10007771,2008/02/28
2306,BURRUM BURRUM,       10007772,2008/02/28
2308,BURTWARRAH,       10007774,2008/02/28
2310,BUTGULLA,       10007776,2008/02/28
2311,BUTTLEJORRK,       10007777,2008/02/28
2313,BYADUK,       10007779,2008/02/28
2315,BYANGA,       10007781,2008/02/28
2316,BYAWATHA,       10007782,2008/02/28
2318,BYLANDS,       10007784,2008/02/28
2319,CABANANDRA,       10007785,2008/02/28
2321,CALLAWADDA,       10007787,2008/02/28
2323,CAMBACANYA,       10007789,2008/02/28
2324,CAMBATONG,       10007790,2008/02/28
2326,CAMPBELLTOWN,       10007792,2008/02/28
2328,CANIAMBO,       10007794,2008/02/28
2329,CANNIE,       10007795,2008/02/28
2331,CANTALA,       10007797,2008/02/28
2332,CARAG CARAG,       10007798,2008/02/28
2334,CARAMBALLUC NORTH,       10007800,2008/02/28
2336,CARAMUT,       10007802,2008/02/28
2338,CARAPOOEE,       10007804,2008/02/28
2339,CARAPOOEE WEST,       10007805,2008/02/28
2341,CARAPUGNA,       10007807,2008/02/28
2343,CARCHAP,       10007809,2008/02/28
2345,CARGERIE,       10007811,2008/02/28
2348,CARLSRUHE,       10007814,2008/02/28
2349,CARLYLE,       10007815,2008/02/28
2351,CARNGHAM,       10007817,2008/02/28
2352,CAROOL,       10007818,2008/02/28
2354,CARPENDEIT,       10007820,2008/02/28
2357,CARRAK,       10007823,2008/02/28
2358,CARRARAGARMUNGEE,       10007824,2008/02/28
2360,CARRUNG-E-MURNONG,       10007826,2008/02/28
2363,CARWARP WEST,       10007829,2008/02/28
2365,CASTLE DONNINGTON,       10007831,2008/02/28
2368,CAVENDISH,       10007834,2008/02/28
2370,CHANGUE EAST,       10007836,2008/02/28
2372,CHARLTON EAST,       10007838,2008/02/28
2374,CHATSWORTH,       10007840,2008/02/28
2376,CHEPSTOWE,       10007842,2008/02/28
2379,CHILLINGOLLAH,       10007845,2008/02/28
2381,CHILTERN,       10007847,2008/02/28
2382,CHILTERN WEST,       10007848,2008/02/28
2384,CHINANGIN,       10007850,2008/02/28
2386,CHIPRICK,       10007852,2008/02/28
2388,CLARKESDALE,       10007854,2008/02/28
2389,CLONBINANE,       10007855,2008/02/28
2393,COBBANNAH,       10007859,2008/02/28
2394,COBBOBOONEE,       10007860,2008/02/28
2396,COBRA KILLUC,       10007862,2008/02/28
2398,COBUNGRA,       10007864,2008/02/28
2399,COCAMBA,       10007865,2008/02/28
2402,CODRINGTON,       10007868,2008/02/28
2404,COIMADAI,       10007870,2008/02/28
2406,COLAC COLAC,       10007872,2008/02/28
2407,COLBINABBIN,       10007873,2008/02/28
2409,COLIBAN,       10007875,2008/02/28
2412,COLQUHOUN,       10007878,2008/02/28
2414,COLQUHOUN NORTH,       10007880,2008/02/28
2416,COMBIENBAR,       10007882,2008/02/28
2418,CONCONGELLA,       10007884,2008/02/28
2420,CONDAH,       10007886,2008/02/28
2421,CONEWARRE,       10007887,2008/02/28
2424,CONNANGORACH,       10007890,2008/02/28
2426,CONNEWIRRECOO,       10007892,2008/02/28
2428,COOAGGALAH,       10007894,2008/02/28
2430,COOLUMBOOKA,       10007896,2008/02/28
2432,COOLUNGUBRA,       10007898,2008/02/28
2435,COONGULLA,       10007901,2008/02/28
2436,COONGULMERANG,       10007902,2008/02/28
2438,COONOOER EAST,       10007904,2008/02/28
2440,COOPRACAMBRA,       10007906,2008/02/28
2442,COORIEJONG,       10007908,2008/02/28
2446,COPI PLAINS,       10007912,2008/02/28
2447,CORACK,       10007913,2008/02/28
2449,CORADJIL,       10007915,2008/02/28
2450,CORANGAMITE,       10007916,2008/02/28
2452,CORINDHAP,       10007918,2008/02/28
2454,CORIO,       10007920,2008/02/28
2457,CORRYONG,       10007923,2008/02/28
2458,COSTERFIELD,       10007924,2008/02/28
2460,COYNALLAN,       10007926,2008/02/28
2462,CRANBOURNE,       10007928,2008/02/28
2463,CRESSY,       10007929,2008/02/28
2466,CROOKAYAN,       10007932,2008/02/28
2468,CROWLANDS,       10007934,2008/02/28
2470,CROXTON WEST,       10007936,2008/02/28
2472,CUNDARE,       10007938,2008/02/28
2473,CURLIP,       10007939,2008/02/28
2474,CURRACURT,       10007940,2008/02/28
2478,CUT-PAW-PAW,       10007944,2008/02/28
2479,DAAHL,       10007945,2008/02/28
2481,DAHWEDARRE,       10007947,2008/02/28
2483,DANDENONG,       10007949,2008/02/28
2484,DANDONGADALE,       10007950,2008/02/28
2486,DARBALANG,       10007952,2008/02/28
2489,DARGO,       10007955,2008/02/28
2491,DARLINGFORD,       10007957,2008/02/28
2492,DARLINGTON,       10007958,2008/02/28
2494,DARNUM,       10007960,2008/02/28
2495,DARRAGAN,       10007961,2008/02/28
2499,DARTAGOOK,       10007965,2008/02/28
2500,DARTELLA,       10007966,2008/02/28
2502,DATTUCK,       10007968,2008/02/28
2503,DEAN,       10007969,2008/02/28
2505,DEDERANG,       10007971,2008/02/28
2508,DENISON,       10007974,2008/02/28
2509,DENNYING,       10007975,2008/02/28
2511,DEREEL,       10007977,2008/02/28
2512,DERGHOLM,       10007978,2008/02/28
2514,DERNDANG,       10007980,2008/02/28
2515,DERRIL,       10007981,2008/02/28
2518,DEUTGAM,       10007984,2008/02/28
2520,DEVON,       10007986,2008/02/28
2521,DEWRANG,       10007987,2008/02/28
2523,DIGGORRA,       10007989,2008/02/28
2524,DIMBOOLA,       10007990,2008/02/28
2527,DINYARRAK,       10007993,2008/02/28
2529,DOBOOBETIC,       10007995,2008/02/28
2531,DOLLIN,       10007997,2008/02/28
2532,DONALD,       10007998,2008/02/28
2533,DOODWUK,       10007999,2008/02/28
2536,DOOLAM,       10008002,2008/02/28
2538,DOPEWORA,       10008004,2008/02/28
2539,DORCHAP,       10008005,2008/02/28
2541,DOUTTA GALLA,       10008007,2008/02/28
2543,DRAJURK,       10008009,2008/02/28
2546,DROPMORE,       10008012,2008/02/28
2547,DROUIN EAST,       10008013,2008/02/28
2549,DRUMANURE,       10008015,2008/02/28
2551,DRUMDLEMARA,       10008017,2008/02/28
2553,DRUNG DRUNG,       10008019,2008/02/28
2556,DUERAN,       10008022,2008/02/28
2558,DULUNGALONG,       10008024,2008/02/28
2560,DUNBULBALANE,       10008026,2008/02/28
2561,DUNEED,       10008027,2008/02/28
2563,DUNMORE,       10008029,2008/02/28
2564,DUNMUNKLE,       10008030,2008/02/28
2566,DUNNEWORTHY,       10008032,2008/02/28
2570,DURONG,       10008036,2008/02/28
2571,ECHUCA NORTH,       10008037,2008/02/28
2573,ECKLIN,       10008039,2008/02/28
2574,EDDINGTON,       10008040,2008/02/28
2576,EDGECOMBE,       10008042,2008/02/28
2578,EGERTON,       10008044,2008/02/28
2579,EGLINTON,       10008045,2008/02/28
2582,EL DORADO,       10008048,2008/02/28
2584,ELLERSLIE,       10008050,2008/02/28
2585,ELLESMERE,       10008051,2008/02/28
2587,ELLINGING,       10008053,2008/02/28
2589,ELPHINSTONE,       10008055,2008/02/28
2592,ENFIELD,       10008058,2008/02/28
2594,ENSAY,       10008060,2008/02/28
2595,ENUC,       10008061,2008/02/28
2596,EPPALOCK,       10008062,2008/02/28
2598,ERRINUNDRA,       10008064,2008/02/28
2601,EUCAMBENE,       10008067,2008/02/28
2603,EUMEMMERRING,       10008069,2008/02/28
2605,EURAMBEEN,       10008071,2008/02/28
2606,EURANDELONG,       10008072,2008/02/28
2608,EUROA,       10008074,2008/02/28
2609,EVERSLEY,       10008075,2008/02/28
2612,FINGAL,       10008078,2008/02/28
2614,FLOWERDALE,       10008080,2008/02/28
2616,FRAMLINGHAM EAST,       10008082,2008/02/28
2618,FRANKLIN,       10008084,2008/02/28
2619,FRANKSTON,       10008085,2008/02/28
2623,FUMINA,       10008089,2008/02/28
2624,FUMINA NORTH,       10008090,2008/02/28
2626,GABO,       10008092,2008/02/28
2627,GALAQUIL,       10008093,2008/02/28
2629,GALLA,       10008095,2008/02/28
2630,GALPUNGA,       10008096,2008/02/28
2632,GAMPOLA,       10008098,2008/02/28
2635,GARRATANBUNELL,       10008101,2008/02/28
2637,GATUM GATUM,       10008103,2008/02/28
2639,GEELENGLA,       10008105,2008/02/28
2641,GEERAK,       10008107,2008/02/28
2642,GELANTIPY EAST,       10008108,2008/02/28
2644,GELLIBRAND,       10008110,2008/02/28
2647,GERANGAMETE,       10008113,2008/02/28
2649,GHERANG GHERANG,       10008115,2008/02/28
2651,GHIN GHIN,       10008117,2008/02/28
2653,GIFFARD,       10008119,2008/02/28
2654,GILLINGALL,       10008120,2008/02/28
2657,GINAP,       10008123,2008/02/28
2659,GINQUAM,       10008125,2008/02/28
2660,GIRGARRE,       10008126,2008/02/28
2662,GISBORNE,       10008128,2008/02/28
2663,GLENALADALE,       10008129,2008/02/28
2667,GLENBURNIE,       10008133,2008/02/28
2669,GLENCOE SOUTH,       10008135,2008/02/28
2670,GLENDALE,       10008136,2008/02/28
2672,GLENDHU,       10008138,2008/02/28
2674,GLENGOWER,       10008140,2008/02/28
2675,GLENHOPE,       10008141,2008/02/28
2678,GLENLYON,       10008144,2008/02/28
2680,GLENMONA,       10008146,2008/02/28
2681,GLENMORE,       10008147,2008/02/28
2683,GLENORMISTON,       10008149,2008/02/28
2685,GLENROWEN,       10008151,2008/02/28
2688,GNARKEET,       10008154,2008/02/28
2690,GNARWARRE,       10008156,2008/02/28
2691,GNARWEE,       10008157,2008/02/28
2693,GOBUR,       10008159,2008/02/28
2694,GOLDIE,       10008160,2008/02/28
2696,GONZAGA,       10008162,2008/02/28
2699,GOONEGUL,       10008165,2008/02/28
2700,GOONGEE,       10008166,2008/02/28
2702,GOON NURE,       10008168,2008/02/28
2704,GOORAMBAT,       10008170,2008/02/28
2705,GOORAM GOORAM GONG,       10008171,2008/02/28
2708,GOROKE,       10008174,2008/02/28
2710,GORRINN,       10008176,2008/02/28
2712,GORYA,       10008178,2008/02/28
2713,GOULBURN,       10008179,2008/02/28
2715,GOWAR,       10008181,2008/02/28
2716,GOYURA,       10008182,2008/02/28
2719,GRANTON,       10008185,2008/02/28
2721,GRASSDALE,       10008187,2008/02/28
2722,GREDGWIN,       10008188,2008/02/28
2724,GREENSBOROUGH,       10008190,2008/02/28
2726,GRETA,       10008192,2008/02/28
2729,GRUYERE,       10008195,2008/02/28
2730,GUILDFORD,       10008196,2008/02/28
2732,GUNBOWER,       10008198,2008/02/28
2734,GUNDOWRING,       10008200,2008/02/28
2735,GUNGARLAN,       10008201,2008/02/28
2737,GUTCHU,       10008203,2008/02/28
2738,GUTTAMURRA,       10008204,2008/02/28
2742,HAMILTON SOUTH,       10008208,2008/02/28
2861,KENTBRUCK,       10008327,2008/02/28
2863,KERGUNYAH,       10008329,2008/02/28
2865,KERRIE,       10008331,2008/02/28
2866,KERRISDALE,       10008332,2008/02/28
2869,KEWELL EAST,       10008335,2008/02/28
2871,KIA,       10008337,2008/02/28
2872,KIALLA,       10008338,2008/02/28
2874,KIATA,       10008340,2008/02/28
2875,KILLARA,       10008341,2008/02/28
2877,KILLINGWORTH,       10008343,2008/02/28
2878,KILNOORAT,       10008344,2008/02/28
2880,KINABULLA,       10008346,2008/02/28
2882,KINGOWER,       10008348,2008/02/28
2883,KINIMAKATKA,       10008349,2008/02/28
2885,KINYPANIAL,       10008351,2008/02/28
2887,KIRKELLA,       10008353,2008/02/28
2888,KIRKENONG,       10008354,2008/02/28
2890,KNAAWING,       10008356,2008/02/28
2892,KNOWSLEY,       10008358,2008/02/28
2893,KNOWSLEY EAST,       10008359,2008/02/28
2895,KOETONG,       10008361,2008/02/28
2897,KOLEYA,       10008363,2008/02/28
2898,KOLORA,       10008364,2008/02/28
2899,KONARDIN,       10008365,2008/02/28
2901,KONGWAK,       10008367,2008/02/28
2903,KONONG WOOTONG,       10008369,2008/02/28
2905,KOOLA,       10008371,2008/02/28
2906,KOOLOMERT,       10008372,2008/02/28
2908,KOONDA,       10008374,2008/02/28
2909,KOONIKA,       10008375,2008/02/28
2910,KOONIK KOONIK,       10008376,2008/02/28
2912,KOORANGIE,       10008378,2008/02/28
2914,KOORKAB,       10008380,2008/02/28
2916,KOOROOL,       10008382,2008/02/28
2917,KOOROOMAN,       10008383,2008/02/28
2919,KOORT-KOORT-NONG,       10008385,2008/02/28
2921,KOO-WEE-RUP EAST,       10008387,2008/02/28
2923,KORNONG,       10008389,2008/02/28
2924,KORO-GANEIT,       10008390,2008/02/28
2926,KORONG,       10008392,2008/02/28
2928,KORRAK KORRAK,       10008394,2008/02/28
2930,KORWEINGUBOORA,       10008396,2008/02/28
2932,KOTUPNA,       10008398,2008/02/28
2933,KOUT NARIN,       10008399,2008/02/28
2935,KOYUGA,       10008401,2008/02/28
2936,KRAMBRUK,       10008402,2008/02/28
2938,KULK,       10008404,2008/02/28
2939,KULKYNE,       10008405,2008/02/28
2941,KUNAT KUNAT,       10008407,2008/02/28
2942,KURDGWEECHEE,       10008408,2008/02/28
2944,KURNWILL,       10008410,2008/02/28
2946,KURTING,       10008412,2008/02/28
