LGA_CODE,CLASS_CODE,LGA,GAZETTED_LGA_NAME,STATUS,DOI_LGA,VICGOV_REGION_CODE,DSE_REGION_CODE,UFI,UFI_CREATED,DEPI_REGION_CODE,DELWP_REGION_CODE,ABS_LGA_CODE,ROAD_SLOPE_FACTOR
"310",S,CAMPASPE,CAMPASPE SHIRE,ACTIVE,CAMPASPE,"15","6",10220815,2022/10/18,"6","6","21370",-99.999
"311",S,CARDINIA,CARDINIA SHIRE,ACTIVE,CARDINIA,"17","3",10220816,2022/10/18,"3","3","21450",-99.999
"312",C,CASEY,CASEY CITY,ACTIVE,CASEY,"17","3",10220817,2022/10/18,"3","3","21610",-99.999
"313",S,CENTRAL GOLDFIELDS,CENTRAL GOLDFIELDS SHIRE,ACTIVE,CENTRAL GOLDFIELDS,"15","6",10220818,2022/10/18,"6","6","21670",-99.999
"314",S,COLAC OTWAY,COLAC OTWAY SHIRE,ACTIVE,COLAC OTWAY,"10","5",10220819,2022/10/18,"5","5","21750",-99.999
"315",S,CORANGAMITE,CORANGAMITE SHIRE,ACTIVE,CORANGAMITE,"10","5",10220820,2022/10/18,"5","5","21830",-99.999
"316",C,DAREBIN,DAREBIN CITY,ACTIVE,DAREBIN,"16","3",10220821,2022/10/18,"3","3","21890",-99.999
"319",S,EAST GIPPSLAND,EAST GIPPSLAND SHIRE,ACTIVE,EAST GIPPSLAND,"12","2",10220822,2022/10/18,"2","2","22110",-99.999
"320",C,FRANKSTON,FRANKSTON CITY,ACTIVE,FRANKSTON,"17","3",10220823,2022/10/18,"3","3","22170",-99.999
"321",S,GANNAWARRA,GANNAWARRA SHIRE,ACTIVE,GANNAWARRA,"15","6",10220824,2022/10/18,"6","6","22250",-99.999
"322",C,GLEN EIRA,GLEN EIRA CITY,ACTIVE,GLEN EIRA,"17","3",10220825,2022/10/18,"3","3","22310",-99.999
"323",S,GLENELG,GLENELG SHIRE,ACTIVE,GLENELG,"10","5",10220826,2022/10/18,"5","5","22410",-99.999
"324",S,GOLDEN PLAINS,GOLDEN PLAINS SHIRE,ACTIVE,GOLDEN PLAINS,"13","5",10220827,2022/10/18,"7","7","22490",-99.999
"325",C,GREATER BENDIGO,GREATER BENDIGO CITY,ACTIVE,GREATER BENDIGO,"15","6",10220828,2022/10/18,"6","6","22620",-99.999
"326",C,GREATER DANDENONG,GREATER DANDENONG CITY,ACTIVE,GREATER DANDENONG,"17","3",10220829,2022/10/18,"3","3","22670",-99.999
"327",C,GREATER GEELONG,GREATER GEELONG CITY,ACTIVE,GREATER GEELONG,"10","5",10220830,2022/10/18,"5","5","22750",-99.999
"328",C,GREATER SHEPPARTON,GREATER SHEPPARTON CITY,ACTIVE,GREATER SHEPPARTON,"14","4",10220831,2022/10/18,"4","4","22830",-99.999
"329",S,HEPBURN,HEPBURN SHIRE,ACTIVE,HEPBURN,"13","5",10220832,2022/10/18,"7","7","22910",-99.999
"330",S,HINDMARSH,HINDMARSH SHIRE,ACTIVE,HINDMARSH,"13","5",10220833,2022/10/18,"7","7","22980",-99.999
"331",C,HOBSONS BAY,HOBSONS BAY CITY,ACTIVE,HOBSONS BAY,"16","3",10220834,2022/10/18,"3","3","23110",-99.999
"332",C,HORSHAM,HORSHAM RURAL CITY,ACTIVE,HORSHAM,"13","5",10220835,2022/10/18,"7","7","23190",-99.999
"333",C,HUME,HUME CITY,ACTIVE,HUME,"16","3",10220836,2022/10/18,"3","3","23270",-99.999
"334",S,INDIGO,INDIGO SHIRE,ACTIVE,INDIGO,"14","4",10220837,2022/10/18,"4","4","23350",-99.999
"335",C,KINGSTON,KINGSTON CITY,ACTIVE,KINGSTON,"17","3",10220838,2022/10/18,"3","3","23430",-99.999
"336",C,KNOX,KNOX CITY,ACTIVE,KNOX,"11","3",10220839,2022/10/18,"3","3","23670",-99.999
"337",C,LATROBE,LATROBE CITY,ACTIVE,LATROBE,"12","2",10220840,2022/10/18,"2","2","23810",-99.999
"338",S,LODDON,LODDON SHIRE,ACTIVE,LODDON,"15","6",10220841,2022/10/18,"6","6","23940",-99.999
"339",S,MACEDON RANGES,MACEDON RANGES SHIRE,ACTIVE,MACEDON RANGES,"15","6",10220842,2022/10/18,"6","6","24130",-99.999
"340",C,MANNINGHAM,MANNINGHAM CITY,ACTIVE,MANNINGHAM,"11","3",10220843,2022/10/18,"3","3","24210",-99.999
"341",C,MARIBYRNONG,MARIBYRNONG CITY,ACTIVE,MARIBYRNONG,"16","3",10220844,2022/10/18,"3","3","24330",-99.999
"342",C,MAROONDAH,MAROONDAH CITY,ACTIVE,MAROONDAH,"11","3",10220845,2022/10/18,"3","3","24410",-99.999
"343",C,MELBOURNE,MELBOURNE CITY,ACTIVE,MELBOURNE,"16","3",10220846,2022/10/18,"3","3","24600",-99.999
"344",C,MELTON,MELTON CITY,ACTIVE,MELTON,"16","3",10220847,2022/10/18,"3","3","24650",-99.999
"345",RC,MILDURA,MILDURA RURAL CITY,ACTIVE,MILDURA,"15","6",10220848,2022/10/18,"6","6","24780",-99.999
"346",S,MITCHELL,MITCHELL SHIRE,ACTIVE,MITCHELL,"14","4",10220849,2022/10/18,"4","4","24850",-99.999
"347",S,MOIRA,MOIRA SHIRE,ACTIVE,MOIRA,"14","4",10220850,2022/10/18,"4","4","24900",-99.999
"348",C,MONASH,MONASH CITY,ACTIVE,MONASH,"11","3",10220851,2022/10/18,"3","3","24970",-99.999
"349",C,MOONEE VALLEY,MOONEE VALLEY CITY,ACTIVE,MOONEE VALLEY,"16","3",10220852,2022/10/18,"3","3","25060",-99.999
"350",S,MOORABOOL,MOORABOOL SHIRE,ACTIVE,MOORABOOL,"13","5",10220853,2022/10/18,"7","7","25150",-99.999
"352",S,MORNINGTON PENINSULA,MORNINGTON PENINSULA SHIRE,ACTIVE,MORNINGTON PENINSULA,"17","3",10220855,2022/10/18,"3","3","25340",-99.999
"353",S,MOUNT ALEXANDER,MOUNT ALEXANDER SHIRE,ACTIVE,MOUNT ALEXANDER,"15","6",10220856,2022/10/18,"6","6","25430",-99.999
"354",S,MOYNE,MOYNE SHIRE,ACTIVE,MOYNE,"10","5",10220857,2022/10/18,"5","5","25490",-99.999
"355",S,MURRINDINDI,MURRINDINDI SHIRE,ACTIVE,MURRINDINDI,"14","4",10220858,2022/10/18,"4","4","25620",-99.999
