"LGA_CODE","CLASS_CODE","LGA","GAZETTED_LGA_NAME","STATUS","DOI_LGA","VICGOV_REGION_CODE","DSE_REGION_CODE","UFI","UFI_CREATED"
"382","S","MANSFIELD","MANSFIELD SHIRE","ACTIVE","MANSFIELD","14","4",10199300,20130809
"383","UI","MOUNT BAW BAW ALPINE RESORT (UNINC)","MOUNT BAW BAW ALPINE RESORT (UNINCORPORATED)","ACTIVE","MOUNT BAW BAW ALPINE RESORT (UNINC)","12","2",10199301,20130809
"384","UI","MOUNT BULLER ALPINE RESORT (UNINC)","MOUNT BULLER ALPINE RESORT (UNINCORPORATED)","ACTIVE","MOUNT BULLER ALPINE RESORT (UNINC)","14","4",10199302,20130809
"385","UI","LAKE MOUNTAIN ALPINE RESORT (UNINC)","LAKE MOUNTAIN ALPINE RESORT (UNINCORPORATED)","ACTIVE","LAKE MOUNTAIN ALPINE RESORT (UNINC)","14","4",10199303,20130809
"386","UI","FALLS CREEK ALPINE RESORT (UNINC)","FALLS CREEK ALPINE RESORT (UNINCORPORATED)","ACTIVE","FALLS CREEK ALPINE RESORT (UNINC)","14","4",10199304,20130809
"387","UI","MOUNT STIRLING ALPINE RESORT (UNINC)","MOUNT STIRLING ALPINE RESORT (UNINCORPORATED)","ACTIVE","MOUNT STIRLING ALPINE RESORT (UNINC)","14","4",10199305,20130809
"388","UI","MOUNT HOTHAM ALPINE RESORT (UNINC)","MOUNT HOTHAM ALPINE RESORT (UNINCORPORATED)","ACTIVE","MOUNT HOTHAM ALPINE RESORT (UNINC)","14","4",10199306,20130809
"999","UI","UNKNOWN","UNKNOWN","OBSOLETE","UNKNOWN","99","9",10199307,20130809
"389","UI","ALPINE RESORTS (UNINC)","ALPINE RESORTS (UNINCORPORATED)","OBSOLETE","ALPINE RESORTS","99","9",10199308,20130809
"317","S","DELATITE","DELATITE SHIRE","OBSOLETE","DELATITE","99","9",10199309,20130809
"318","A","DOCKLANDS","DOCKLANDS","OBSOLETE","DOCKLANDS","16","3",10199310,20130809
"998","UI","PORT OF MELBOURNE (PLANNING ONLY)","PORT OF MELBOURNE (PLANNING ONLY)","OBSOLETE","PORT OF MELBOURNE","99","9",10199311,20130809
