TOWNSHIP_CODE,TOWNSHIP,STATUS,UFI,UFI_CREATED
5602,NORONG,ACTIVE,       10013336,2008/02/28
5605,NOWINGI,ACTIVE,       10013338,2008/02/28
5608,NUNGURNER,ACTIVE,       10013340,2008/02/28
5612,NYAH WEST,ACTIVE,       10013342,2008/02/28
5616,OLINDA,ACTIVE,       10013344,2008/02/28
5620,OSBORNE,ACTIVE,       10013346,2008/02/28
5625,PANMURE,ACTIVE,       10013348,2008/02/28
5628,PEECHELBA,ACTIVE,       10013350,2008/02/28
5632,PHEASANT CREEK,ACTIVE,       10013352,2008/02/28
5635,PIGEON PONDS,ACTIVE,       10013354,2008/02/28
5641,PITFIELD,ACTIVE,       10013357,2008/02/28
5644,POOWONG,ACTIVE,       10013359,2008/02/28
5647,PORTARLINGTON,ACTIVE,       10013361,2008/02/28
5650,PORT FRANKLIN,ACTIVE,       10013363,2008/02/28
5656,PURA PURA,ACTIVE,       10013366,2008/02/28
5660,QUAMBATOOK,ACTIVE,       10013368,2008/02/28
5663,RAGLAN,ACTIVE,       10013370,2008/02/28
5667,RAYWOOD,ACTIVE,       10013372,2008/02/28
5670,REDESDALE,ACTIVE,       10013374,2008/02/28
5673,RHEOLA,ACTIVE,       10013376,2008/02/28
5677,ROBINVALE,ACTIVE,       10013378,2008/02/28
5680,ROKEWOOD,ACTIVE,       10013380,2008/02/28
5685,ROWSLEY,ACTIVE,       10013382,2008/02/28
5688,RUPANYUP,ACTIVE,       10013384,2008/02/28
5692,ST ARNAUD,ACTIVE,       10013386,2008/02/28
5698,SANDY POINT,ACTIVE,       10013389,2008/02/28
5702,SEACOMBE,ACTIVE,       10013391,2008/02/28
5705,SEATON,ACTIVE,       10013393,2008/02/28
5709,SERVICETON,ACTIVE,       10013395,2008/02/28
5712,SHELFORD,ACTIVE,       10013397,2008/02/28
5716,SKENES CREEK,ACTIVE,       10013399,2008/02/28
5722,SORRENTO,ACTIVE,       10013402,2008/02/28
5725,SPEED,ACTIVE,       10013404,2008/02/28
5726,SPRING HILL,ACTIVE,       10013405,2008/02/28
5731,STEIGLITZ,ACTIVE,       10013408,2008/02/28
5735,STRADBROKE,ACTIVE,       10013410,2008/02/28
5738,STRATHBOGIE,ACTIVE,       10013412,2008/02/28
5742,STUARTMILL,ACTIVE,       10013414,2008/02/28
5745,SUNNYSIDE,ACTIVE,       10013417,2008/02/28
5747,SWAN HILL,ACTIVE,       10013419,2008/02/28
5749,SWAN REACH,ACTIVE,       10013421,2008/02/28
5751,SYDENHAM,ACTIVE,       10013423,2008/02/28
5753,TAGGERTY,ACTIVE,       10013425,2008/02/28
5755,TALBOT,ACTIVE,       10013427,2008/02/28
5757,TALLANGATTA,UNMAPPED,       10013429,2008/02/28
5760,TAMBOON,ACTIVE,       10013432,2008/02/28
5762,TARADALE,ACTIVE,       10013434,2008/02/28
5764,TARKEDIA,ACTIVE,       10013436,2008/02/28
5766,TARRANGINNIE,ACTIVE,       10013438,2008/02/28
5768,TARRAYOUKYAN,ACTIVE,       10013440,2008/02/28
5770,TARWIN LOWER,ACTIVE,       10013442,2008/02/28
5773,TATURA,ACTIVE,       10013445,2008/02/28
5775,TELOPEA DOWNS,ACTIVE,       10013447,2008/02/28
5894,YAMBUK,ACTIVE,       10013566,2008/02/28
5896,YANDOIT,ACTIVE,       10013568,2008/02/28
5898,YARRAGON,ACTIVE,       10013570,2008/02/28
5900,YARRARA,ACTIVE,       10013572,2008/02/28
5902,YARTO,ACTIVE,       10013574,2008/02/28
5904,YEA,ACTIVE,       10013576,2008/02/28
5905,YELLINGBO,ACTIVE,       10013577,2008/02/28
5908,YUNGERA,ACTIVE,       10013580,2008/02/28
2007A,"ALBERTON, AT : PARISH OF ALBERTON EAST",ACTIVE,       10013582,2008/02/28
