PROPERTY_TYPE_CODE,PROPERTY_TYPE,DESCRIPTION,UFI,UFI_CREATED
O,OCCUPANCY,Occupancy,       10012542,2008/02/28
G,GRAPHIC,Graphic Entity,       10012543,2008/02/28
