PARISH_TOWN_ID,PARISH_TOWN_CODE,PARISH_TOWN,PARISH_TOWN_DISPLAY,UFI,UFI_CREATED
  2921,3942,YAMBUK,PARISH OF YAMBUK,       10012392,2008/02/28
  2924,3954,YAN YAN GURT,PARISH OF YAN YAN GURT,       10012395,2008/02/28
  2927,3944,YANAC-A-YANAC,PARISH OF YANAC-A-YANAC,       10012398,2008/02/28
  2931,5896,YANDOIT (T),TOWNSHIP OF YANDOIT,       10012402,2008/02/28
  2935,3951,YANGOURA,PARISH OF YANGOURA,       10012406,2008/02/28
  2938,3956,YARAK,PARISH OF YARAK,       10012409,2008/02/28
  2941,5897,YARCK (T),TOWNSHIP OF YARCK,       10012412,2008/02/28
  2944,5899,YARRA JUNCTION (T),TOWNSHIP OF YARRA JUNCTION,       10012415,2008/02/28
  2949,3964,YARRAMYLJUP,PARISH OF YARRAMYLJUP,       10012420,2008/02/28
  2952,5900,YARRARA (T),TOWNSHIP OF YARRARA,       10012423,2008/02/28
  2956,3968,YARRAYNE,PARISH OF YARRAYNE,       10012427,2008/02/28
  2959,3971,YARROWEE,PARISH OF YARROWEE,       10012430,2008/02/28
  2962,3976,YAT NAT,PARISH OF YAT NAT,       10012433,2008/02/28
  2965,3975,YATMERONE,PARISH OF YATMERONE,       10012436,2008/02/28
  2969,3979,YEA,PARISH OF YEA,       10012440,2008/02/28
  2971,3980,YEARINGA,PARISH OF YEARINGA,       10012442,2008/02/28
  2974,3983,YEHRIP,PARISH OF YEHRIP,       10012445,2008/02/28
