PARISH_TOWN_ID,PARISH_TOWN_CODE,PARISH_TOWN,PARISH_TOWN_DISPLAY,UFI,UFI_CREATED
     1,5001,ABERFELDY (T),TOWNSHIP OF ABERFELDY,       10009472,2008/02/28
     2,2001,ACHERON,PARISH OF ACHERON,       10009473,2008/02/28
     3,5002,ACHERON (T),TOWNSHIP OF ACHERON,       10009474,2008/02/28
     4,2002,ADDINGTON,PARISH OF ADDINGTON,       10009475,2008/02/28
     5,2003,ADJIE,PARISH OF ADJIE,       10009476,2008/02/28
     6,2004,ADZAR,PARISH OF ADZAR,       10009477,2008/02/28
     7,5003,AILSA (T),TOWNSHIP OF AILSA,       10009478,2008/02/28
     8,2005,AIRE,PARISH OF AIRE,       10009479,2008/02/28
     9,2006,ALBACUTYA,PARISH OF ALBACUTYA,       10009480,2008/02/28
    10,5004,ALBACUTYA (T),TOWNSHIP OF ALBACUTYA,       10009481,2008/02/28
    11,5005,ALBERTON (T),TOWNSHIP OF ALBERTON,       10009482,2008/02/28
    12,2007,ALBERTON EAST,PARISH OF ALBERTON EAST,       10009483,2008/02/28
    13,2008,ALBERTON WEST,PARISH OF ALBERTON WEST,       10009484,2008/02/28
    14,2007A,ALBERTON:AT (ALBERTON EAST),"AT ALBERTON, PARISH OF ALBERTON EAST",       10009485,2008/02/28
    15,2009,ALEXANDRA,PARISH OF ALEXANDRA,       10009486,2008/02/28
    16,5006,ALEXANDRA (T),TOWNSHIP OF ALEXANDRA,       10009487,2008/02/28
    17,2010,ALLAMBEE,PARISH OF ALLAMBEE,       10009488,2008/02/28
    18,2011,ALLAMBEE EAST,PARISH OF ALLAMBEE EAST,       10009489,2008/02/28
    19,5007,ALLANS FLAT (T),TOWNSHIP OF ALLANS FLAT,       10009490,2008/02/28
    20,5008,ALMA (T),TOWNSHIP OF ALMA,       10009491,2008/02/28
    21,2012,AMHERST,PARISH OF AMHERST,       10009492,2008/02/28
    22,5009,AMHERST (T),TOWNSHIP OF AMHERST,       10009493,2008/02/28
    23,2013,AMPHITHEATRE,PARISH OF AMPHITHEATRE,       10009494,2008/02/28
    24,5010,AMPHITHEATRE (T),TOWNSHIP OF AMPHITHEATRE,       10009495,2008/02/28
    25,2014,ANAKIE,PARISH OF ANAKIE,       10009496,2008/02/28
    26,2015,ANGAHOOK,PARISH OF ANGAHOOK,       10009497,2008/02/28
    27,5011,ANGLESEA (T),TOWNSHIP OF ANGLESEA,       10009498,2008/02/28
    28,2016,ANGORA,PARISH OF ANGORA,       10009499,2008/02/28
    29,2017,ANNUELLO,PARISH OF ANNUELLO,       10009500,2008/02/28
    30,5012,ANNUELLO (T),TOWNSHIP OF ANNUELLO,       10009501,2008/02/28
    31,2018,ANNYA,PARISH OF ANNYA,       10009502,2008/02/28
    32,5013,ANTWERP (T),TOWNSHIP OF ANTWERP,       10009503,2008/02/28
    33,5014,APOLLO BAY (T),TOWNSHIP OF APOLLO BAY,       10009504,2008/02/28
    34,5015,APSLEY (T),TOWNSHIP OF APSLEY,       10009505,2008/02/28
    35,2019,ARAPILES,PARISH OF ARAPILES,       10009506,2008/02/28
    36,5016,ARAPILES (T),TOWNSHIP OF ARAPILES,       10009507,2008/02/28
    37,2020,ARARAT,PARISH OF ARARAT,       10009508,2008/02/28
    38,5017,ARARAT (T),TOWNSHIP OF ARARAT,       10009509,2008/02/28
    39,2021,ARBUCKLE,PARISH OF ARBUCKLE,       10009510,2008/02/28
    40,2022,ARCADIA,PARISH OF ARCADIA,       10009511,2008/02/28
    41,2023,ARCHDALE,PARISH OF ARCHDALE,       10009512,2008/02/28
    42,5018,ARCHDALE (T),TOWNSHIP OF ARCHDALE,       10009513,2008/02/28
    43,2024,ARDNO,PARISH OF ARDNO,       10009514,2008/02/28
    44,2025,ARDONACHIE,PARISH OF ARDONACHIE,       10009515,2008/02/28
    45,2026,AREEGRA,PARISH OF AREEGRA,       10009516,2008/02/28
    46,2027,ARGYLE,PARISH OF ARGYLE,       10009517,2008/02/28
    47,5019,ARNOLD (T),TOWNSHIP OF ARNOLD,       10009518,2008/02/28
    48,2028,ASCOT,PARISH OF ASCOT,       10009519,2008/02/28
    49,5020,ASCOT (T),TOWNSHIP OF ASCOT,       10009520,2008/02/28
    50,2029,ASHENS,PARISH OF ASHENS,       10009521,2008/02/28
    51,2007A,AT ALBERTON (ALBERTON EAST),"AT ALBERTON, PARISH OF ALBERTON EAST",       10009522,2008/02/28
    52,3473A,AT BENDIGO (SANDHURST),"AT BENDIGO, PARISH OF SANDHURST",       10009523,2008/02/28
    53,3337A,AT BOX HILL (NUNAWADING),"AT BOX HILL, PARISH OF NUNAWADING",       10009524,2008/02/28
    54,2796B,AT CARLTON (JIKA JIKA),"AT CARLTON, PARISH OF JIKA JIKA",       10009525,2008/02/28
    55,3416A,AT CAULFIELD (PRAHRAN),"AT CAULFIELD, PARISH OF PRAHRAN",       10009526,2008/02/28
    56,2796C,AT CLIFTON HILL (JIKA JIKA),"AT CLIFTON HILL, PARISH OF JIKA JIKA",       10009527,2008/02/28
    57,3389A,AT COWES (PHILLIP ISLAND),"AT COWES, PARISH OF PHILLIP ISLAND",       10009528,2008/02/28
    59,3473B,AT EAGLEHAWK (SANDHURST),"AT EAGLEHAWK, PARISH OF SANDHURST",       10009530,2008/02/28
    60,5514A,AT EAST MELBOURNE (MELBOURNE),"AT EAST MELBOURNE, TOWNSHIP OF MELBOURNE",       10009531,2008/02/28
    61,3416D,AT ELSTERNWICK (PRAHRAN),"AT ELSTERNWICK, PARISH OF PRAHRAN",       10009532,2008/02/28
    62,3084A,AT ELWOOD (MELBOURNE SOUTH),"AT ELWOOD, PARISH OF MELBOURNE SOUTH",       10009533,2008/02/28
    64,2541A,AT ESSENDON (DOUTTA GALLA),"AT ESSENDON, PARISH OF DOUTTA GALLA",       10009535,2008/02/28
    65,3416E,AT GARDINER (PRAHRAN),"AT GARDINER, PARISH OF PRAHRAN",       10009536,2008/02/28
    66,2541C,AT HAWSTEAD (DOUTTA GALLA),"AT HAWSTEAD, PARISH OF DOUTTA GALLA",       10009537,2008/02/28
    67,2209A,AT HAWTHORN (BOROONDARA),"AT HAWTHORN, PARISH OF BOROONDARA",       10009538,2008/02/28
    69,2796E,AT NORTH FITZROY (JIKA JIKA),"AT NORTH FITZROY, PARISH OF JIKA JIKA",       10009540,2008/02/28
    70,2796F,AT NORTH MELBOURNE (JIKA JIKA),"AT NORTH MELBOURNE, PARISH OF JIKA JIKA",       10009541,2008/02/28
    71,2796G,AT PARKVILLE (JIKA JIKA),"AT PARKVILLE, PARISH OF JIKA JIKA",       10009542,2008/02/28
    72,3380A,AT QUEENSCLIFF (PAYWIT),"AT QUEENSCLIFF, PARISH OF PAYWIT",       10009543,2008/02/28
    74,3102A,AT RED CLIFFS (MILDURA),"AT RED CLIFFS, PARISH OF MILDURA",       10009545,2008/02/28
    75,3730A,AT ROSEBUD (WANNAEUE),"AT ROSEBUD, PARISH OF WANNAEUE",       10009546,2008/02/28
    76,2796J,AT ROYAL PARK (JIKA JIKA),"AT ROYAL PARK, PARISH OF JIKA JIKA",       10009547,2008/02/28
    77,3084C,AT SAINT KILDA (MELBOURNE SOUTH),"AT SAINT KILDA, PARISH OF MELBOURNE SOUTH",       10009548,2008/02/28
    78,2287A,AT SCOTCHMANS (BUNINYONG),"AT SCOTCHMANS, PARISH OF BUNINYONG",       10009549,2008/02/28
    79,3084E,AT SOUTH YARRA (MELBOURNE SOUTH),"AT SOUTH YARRA, PARISH OF MELBOURNE SOUTH",       10009550,2008/02/28
    81,5514B,AT WEST MELBOURNE (MELBOURNE),"AT WEST MELBOURNE, TOWNSHIP OF MELBOURNE",       10009552,2008/02/28
    82,2478D,AT YARRAVILLE (CUT-PAW-PAW),"AT YARRAVILLE, PARISH OF CUT-PAW-PAW",       10009553,2008/02/28
    83,5021,AUBREY (T),TOWNSHIP OF AUBREY,       10009554,2008/02/28
    84,2030,AUDLEY,PARISH OF AUDLEY,       10009555,2008/02/28
    85,2031,AVENEL,PARISH OF AVENEL,       10009556,2008/02/28
    87,2032,AVOCA,PARISH OF AVOCA,       10009558,2008/02/28
    88,5023,AVOCA (T),TOWNSHIP OF AVOCA,       10009559,2008/02/28
    90,2034,AXEDALE,PARISH OF AXEDALE,       10009561,2008/02/28
    91,5024,AXEDALE (T),TOWNSHIP OF AXEDALE,       10009562,2008/02/28
    93,2036,BAAWANG,PARISH OF BAAWANG,       10009564,2008/02/28
    94,2037,BABATCHIO,PARISH OF BABATCHIO,       10009565,2008/02/28
    96,5026,BADDAGINNIE (T),TOWNSHIP OF BADDAGINNIE,       10009567,2008/02/28
    97,2038,BAEL BAEL,PARISH OF BAEL BAEL,       10009568,2008/02/28
    98,2039,BAGSHOT,PARISH OF BAGSHOT,       10009569,2008/02/28
    99,2040,BAHGALLAH,PARISH OF BAHGALLAH,       10009570,2008/02/28
   101,2042,BAIRNSDALE,PARISH OF BAIRNSDALE,       10009572,2008/02/28
   102,5027,BAIRNSDALE (T),TOWNSHIP OF BAIRNSDALE,       10009573,2008/02/28
   104,2043,BALLAN,PARISH OF BALLAN,       10009575,2008/02/28
   105,5029,BALLAN (T),TOWNSHIP OF BALLAN,       10009576,2008/02/28
   107,2045,BALLAPUR,PARISH OF BALLAPUR,       10009578,2008/02/28
   108,2046,BALLARAT,PARISH OF BALLARAT,       10009579,2008/02/28
   109,5030,BALLARAT (T),TOWNSHIP OF BALLARAT,       10009580,2008/02/28
   111,5032,BALLARAT NORTH (T),TOWNSHIP OF BALLARAT NORTH,       10009582,2008/02/28
   112,2047,BALLARK,PARISH OF BALLARK,       10009583,2008/02/28
   113,2048,BALLENDELLA,PARISH OF BALLENDELLA,       10009584,2008/02/28
   115,5033,BALLIANG (T),TOWNSHIP OF BALLIANG,       10009586,2008/02/28
   116,2050,BALLOONG,PARISH OF BALLOONG,       10009587,2008/02/28
   118,5034,BALLYROGAN (T),TOWNSHIP OF BALLYROGAN,       10009589,2008/02/28
   119,2052,BALMATTUM,PARISH OF BALMATTUM,       10009590,2008/02/28
   120,2053,BALMORAL,PARISH OF BALMORAL,       10009591,2008/02/28
   122,2054,BALNARRING,PARISH OF BALNARRING,       10009593,2008/02/28
   123,5036,BALNARRING BEACH (T),TOWNSHIP OF BALNARRING BEACH,       10009594,2008/02/28
   124,2055,BALROOK,PARISH OF BALROOK,       10009595,2008/02/28
   126,2057,BAMAWM,PARISH OF BAMAWM,       10009597,2008/02/28
   127,2058,BAMBADIN,PARISH OF BAMBADIN,       10009598,2008/02/28
   129,2059,BAMBRA,PARISH OF BAMBRA,       10009600,2008/02/28
   130,2060,BAMGANIE,PARISH OF BAMGANIE,       10009601,2008/02/28
   131,2061,BANANGAL,PARISH OF BANANGAL,       10009602,2008/02/28
   133,5038,BANGERANG (T),TOWNSHIP OF BANGERANG,       10009604,2008/02/28
   134,5039,BANNERTON (T),TOWNSHIP OF BANNERTON,       10009605,2008/02/28
   136,2063,BANU BONYIT,PARISH OF BANU BONYIT,       10009607,2008/02/28
   137,2064,BANYARMBITE,PARISH OF BANYARMBITE,       10009608,2008/02/28
   138,2065,BANYENA,PARISH OF BANYENA,       10009609,2008/02/28
   140,2066,BANYENONG,PARISH OF BANYENONG,       10009611,2008/02/28
   141,2067,BARAMBOGIE,PARISH OF BARAMBOGIE,       10009612,2008/02/28
   143,2069,BARCHAN,PARISH OF BARCHAN,       10009614,2008/02/28
   144,2070,BARGA,PARISH OF BARGA,       10009615,2008/02/28
   145,2071,BARING,PARISH OF BARING,       10009616,2008/02/28
   147,2073,BARINGHUP,PARISH OF BARINGHUP,       10009618,2008/02/28
   148,5042,BARINGHUP (T),TOWNSHIP OF BARINGHUP,       10009619,2008/02/28
   149,2074,BARKLY,PARISH OF BARKLY,       10009620,2008/02/28
   151,5044,BARKSTEAD (T),TOWNSHIP OF BARKSTEAD,       10009622,2008/02/28
   152,2075,BARMAH,PARISH OF BARMAH,       10009623,2008/02/28
   154,5046,BARNAWARTHA (T),TOWNSHIP OF BARNAWARTHA,       10009625,2008/02/28
   155,2076,BARNAWARTHA NORTH,PARISH OF BARNAWARTHA NORTH,       10009626,2008/02/28
   157,2078,BARNOOLUT,PARISH OF BARNOOLUT,       10009628,2008/02/28
   158,2079,BARONGAROOK,PARISH OF BARONGAROOK,       10009629,2008/02/28
   159,2080,BARP,PARISH OF BARP,       10009630,2008/02/28
   160,2081,BARRAKEE,PARISH OF BARRAKEE,       10009631,2008/02/28
   162,2082,BARRAMUNGA,PARISH OF BARRAMUNGA,       10009633,2008/02/28
   163,5048,BARRAPOORT (T),TOWNSHIP OF BARRAPOORT,       10009634,2008/02/28
   165,5049,BARRINGO (T),TOWNSHIP OF BARRINGO,       10009636,2008/02/28
   166,2084,BARROWORN,PARISH OF BARROWORN,       10009637,2008/02/28
   167,5050,BARRYS REEF (T),TOWNSHIP OF BARRYS REEF,       10009638,2008/02/28
   169,2086,BARWITE,PARISH OF BARWITE,       10009640,2008/02/28
   170,2087,BARWO,PARISH OF BARWO,       10009641,2008/02/28
   172,5051,BARWON DOWNS (T),TOWNSHIP OF BARWON DOWNS,       10009643,2008/02/28
   173,5052,BARWON HEADS (T),TOWNSHIP OF BARWON HEADS,       10009644,2008/02/28
   174,2089,BARWONGEMOONG,PARISH OF BARWONGEMOONG,       10009645,2008/02/28
   176,2090,BATCHICA,PARISH OF BATCHICA,       10009647,2008/02/28
   177,5054,BATHUMI (T),TOWNSHIP OF BATHUMI,       10009648,2008/02/28
   179,2092,BAULKAMAUGH,PARISH OF BAULKAMAUGH,       10009650,2008/02/28
   180,2093,BAW BAW,PARISH OF BAW BAW,       10009651,2008/02/28
   182,2095,BEALIBA,PARISH OF BEALIBA,       10009653,2008/02/28
   183,5055,BEALIBA (T),TOWNSHIP OF BEALIBA,       10009654,2008/02/28
   185,5056,BEARII (T),TOWNSHIP OF BEARII,       10009656,2008/02/28
   186,2096,BEAUFORT,PARISH OF BEAUFORT,       10009657,2008/02/28
   187,5058,BEAUFORT (T),TOWNSHIP OF BEAUFORT,       10009658,2008/02/28
   189,2097,BECKWORTH,PARISH OF BECKWORTH,       10009660,2008/02/28
   190,5060,BEEAC (T),TOWNSHIP OF BEEAC,       10009661,2008/02/28
   191,2098,BEEAR,PARISH OF BEEAR,       10009662,2008/02/28
   192,2099,BEECHWORTH,PARISH OF BEECHWORTH,       10009663,2008/02/28
   194,2100,BEEK BEEK,PARISH OF BEEK BEEK,       10009665,2008/02/28
   195,2101,BEENAK,PARISH OF BEENAK,       10009666,2008/02/28
   196,5062,BEENAK (T),TOWNSHIP OF BEENAK,       10009667,2008/02/28
   198,2103,BEETHANG,PARISH OF BEETHANG,       10009669,2008/02/28
   199,5063,BEETOOMBA (T),TOWNSHIP OF BEETOOMBA,       10009670,2008/02/28
   201,2105,BELFAST,PARISH OF BELFAST,       10009672,2008/02/28
   202,2106,BELLARINE,PARISH OF BELLARINE,       10009673,2008/02/28
   204,5064,BELLBRAE (T),TOWNSHIP OF BELLBRAE,       10009675,2008/02/28
   205,2108,BELLELLEN,PARISH OF BELLELLEN,       10009676,2008/02/28
   207,2110,BELVOIR WEST,PARISH OF BELVOIR WEST,       10009678,2008/02/28
   208,2111,BEMBOKA,PARISH OF BEMBOKA,       10009679,2008/02/28
   210,5065,BEMM (T),TOWNSHIP OF BEMM,       10009681,2008/02/28
   211,2113,BENALLA,PARISH OF BENALLA,       10009682,2008/02/28
   213,2114,BENAMBRA,PARISH OF BENAMBRA,       10009684,2008/02/28
   214,5067,BENAMBRA (T),TOWNSHIP OF BENAMBRA,       10009685,2008/02/28
   216,3473A,BENDIGO:AT (SANDHURST),"AT BENDIGO, PARISH OF SANDHURST",       10009687,2008/02/28
   217,5068,BENDOC (T),TOWNSHIP OF BENDOC,       10009688,2008/02/28
   219,2117,BENETOOK,PARISH OF BENETOOK,       10009690,2008/02/28
   220,5069,BENETOOK (T),TOWNSHIP OF BENETOOK,       10009691,2008/02/28
   222,5070,BENGWORDEN (T),TOWNSHIP OF BENGWORDEN,       10009693,2008/02/28
   223,2119,BENGWORDEN SOUTH,PARISH OF BENGWORDEN SOUTH,       10009694,2008/02/28
   224,2120,BENJEROOP,PARISH OF BENJEROOP,       10009695,2008/02/28
   226,5072,BENNISON (T),TOWNSHIP OF BENNISON,       10009697,2008/02/28
   227,2121,BEOLITE,PARISH OF BEOLITE,       10009698,2008/02/28
   229,2123,BEREMBOKE,PARISH OF BEREMBOKE,       10009700,2008/02/28
   230,2124,BERONTHA,PARISH OF BERONTHA,       10009701,2008/02/28
   232,2126,BERRINGA,PARISH OF BERRINGA,       10009703,2008/02/28
   233,5073,BERRINGA (T),TOWNSHIP OF BERRINGA,       10009704,2008/02/28
   234,2127,BERRINGAMA,PARISH OF BERRINGAMA,       10009705,2008/02/28
   236,2128,BERRIWILLOCK,PARISH OF BERRIWILLOCK,       10009707,2008/02/28
   237,5075,BERRIWILLOCK (T),TOWNSHIP OF BERRIWILLOCK,       10009708,2008/02/28
   238,2129,BERRMARR,PARISH OF BERRMARR,       10009709,2008/02/28
   240,5076,BERRYBANK (T),TOWNSHIP OF BERRYBANK,       10009711,2008/02/28
   241,2131,BERWICK,PARISH OF BERWICK,       10009712,2008/02/28
   243,2132,BESSIEBELLE,PARISH OF BESSIEBELLE,       10009714,2008/02/28
   244,2133,BET BET,PARISH OF BET BET,       10009715,2008/02/28
   246,2134,BETE BOLONG NORTH,PARISH OF BETE BOLONG NORTH,       10009717,2008/02/28
   247,2135,BETE BOLONG SOUTH,PARISH OF BETE BOLONG SOUTH,       10009718,2008/02/28
   248,5079,BETHANGA (T),TOWNSHIP OF BETHANGA,       10009719,2008/02/28
   250,5080,BETLEY (T),TOWNSHIP OF BETLEY,       10009721,2008/02/28
   252,5081,BEULAH (T),TOWNSHIP OF BEULAH,       10009723,2008/02/28
   253,5082,BEVERIDGE (T),TOWNSHIP OF BEVERIDGE,       10009724,2008/02/28
   255,2139,BIDWELL,PARISH OF BIDWELL,       10009726,2008/02/28
   256,2140,BIG BILLY,PARISH OF BIG BILLY,       10009727,2008/02/28
   258,2142,BIL-BIL-WYT,PARISH OF BIL-BIL-WYT,       10009729,2008/02/28
   259,2143,BILLABONG,PARISH OF BILLABONG,       10009730,2008/02/28
   260,2144,BILLIAN,PARISH OF BILLIAN,       10009731,2008/02/28
   262,2146,BILPAH,PARISH OF BILPAH,       10009733,2008/02/28
   263,2147,BIMBOURIE,PARISH OF BIMBOURIE,       10009734,2008/02/28
   265,2149,BINGINWARRI,PARISH OF BINGINWARRI,       10009736,2008/02/28
   266,2150,BINGO-MUNJIE,PARISH OF BINGO-MUNJIE,       10009737,2008/02/28
   268,5083,BINGO-MUNJIE NORTH (T),TOWNSHIP OF BINGO-MUNJIE NORTH,       10009739,2008/02/28
   269,2152,BINGO-MUNJIE SOUTH,PARISH OF BINGO-MUNJIE SOUTH,       10009740,2008/02/28
   270,2153,BINNICAN,PARISH OF BINNICAN,       10009741,2008/02/28
   271,2154,BINNUC,PARISH OF BINNUC,       10009742,2008/02/28
   273,2155,BIRREGUN,PARISH OF BIRREGUN,       10009744,2008/02/28
   274,2156,BIRREGURRA,PARISH OF BIRREGURRA,       10009745,2008/02/28
   276,2157,BITCHIGAL,PARISH OF BITCHIGAL,       10009747,2008/02/28
   277,2158,BITTERANG,PARISH OF BITTERANG,       10009748,2008/02/28
   278,2159,BITTERN,PARISH OF BITTERN,       10009749,2008/02/28
   280,2160,BLACKWOOD,PARISH OF BLACKWOOD,       10009751,2008/02/28
   281,5087,BLACKWOOD (T),TOWNSHIP OF BLACKWOOD,       10009752,2008/02/28
   282,5088,BLAKEVILLE (T),TOWNSHIP OF BLAKEVILLE,       10009753,2008/02/28
   284,2161,BOCHARA,PARISH OF BOCHARA,       10009755,2008/02/28
   285,2162,BOGA,PARISH OF BOGA,       10009756,2008/02/28
   286,2163,BOGALARA,PARISH OF BOGALARA,       10009757,2008/02/28
   288,2165,BOGONG SOUTH,PARISH OF BOGONG SOUTH,       10009759,2008/02/28
   289,2166,BOHO,PARISH OF BOHO,       10009760,2008/02/28
   290,2167,BOIGBEAT,PARISH OF BOIGBEAT,       10009761,2008/02/28
   292,2168,BOIKERBERT,PARISH OF BOIKERBERT,       10009763,2008/02/28
   293,5091,BOILEAU (T),TOWNSHIP OF BOILEAU,       10009764,2008/02/28
   295,5092,BOINKA (T),TOWNSHIP OF BOINKA,       10009766,2008/02/28
   296,2170,BOLAIRA,PARISH OF BOLAIRA,       10009767,2008/02/28
   298,2172,BOLERCH,PARISH OF BOLERCH,       10009769,2008/02/28
   299,2173,BOLGA,PARISH OF BOLGA,       10009770,2008/02/28
   301,5093,BOLTON (T),TOWNSHIP OF BOLTON,       10009772,2008/02/28
   302,2175,BOLWARRA,PARISH OF BOLWARRA,       10009773,2008/02/28
   305,5095,BONANG (T),TOWNSHIP OF BONANG,       10009776,2008/02/28
   306,2177,BONDI,PARISH OF BONDI,       10009777,2008/02/28
   308,2179,BONN,PARISH OF BONN,       10009779,2008/02/28
   309,5096,BONNIE DOON (T),TOWNSHIP OF BONNIE DOON,       10009780,2008/02/28
   311,2181,BOODYARN,PARISH OF BOODYARN,       10009782,2008/02/28
   312,2182,BOOLA BOLOKE,PARISH OF BOOLA BOLOKE,       10009783,2008/02/28
   313,2183,BOOLA BOOLA,PARISH OF BOOLA BOOLA,       10009784,2008/02/28
   315,2184,BOOLE POOLE,PARISH OF BOOLE POOLE,       10009786,2008/02/28
   316,5098,BOOLITE (T),TOWNSHIP OF BOOLITE,       10009787,2008/02/28
   318,2186,BOOMAHNOOMOONAH,PARISH OF BOOMAHNOOMOONAH,       10009789,2008/02/28
   319,2187,BOONAH,PARISH OF BOONAH,       10009790,2008/02/28
   320,2188,BOONAHWAH,PARISH OF BOONAHWAH,       10009791,2008/02/28
   322,5099,BOONOONAR (T),TOWNSHIP OF BOONOONAR,       10009793,2008/02/28
   323,2190,BOORAN,PARISH OF BOORAN,       10009794,2008/02/28
   324,2191,BOORGUNYAH,PARISH OF BOORGUNYAH,       10009795,2008/02/28
   325,5100,BOORGUNYAH (T),TOWNSHIP OF BOORGUNYAH,       10009796,2008/02/28
   326,2192,BOORHAMAN,PARISH OF BOORHAMAN,       10009797,2008/02/28
   327,2193,BOORLEE,PARISH OF BOORLEE,       10009798,2008/02/28
   328,2194,BOOROLITE,PARISH OF BOOROLITE,       10009799,2008/02/28
   329,2195,BOORONG,PARISH OF BOORONG,       10009800,2008/02/28
   330,2196,BOORONGIE,PARISH OF BOORONGIE,       10009801,2008/02/28
   331,2197,BOOROOPKI,PARISH OF BOOROOPKI,       10009802,2008/02/28
   332,5101,BOOROOPKI (T),TOWNSHIP OF BOOROOPKI,       10009803,2008/02/28
   333,2198,BOORPOOL,PARISH OF BOORPOOL,       10009804,2008/02/28
   334,2199,BOORPUK,PARISH OF BOORPUK,       10009805,2008/02/28
   335,2200,BOORT,PARISH OF BOORT,       10009806,2008/02/28
   336,5102,BOORT (T),TOWNSHIP OF BOORT,       10009807,2008/02/28
   337,2201,BOOSEY,PARISH OF BOOSEY,       10009808,2008/02/28
   338,2202,BOOTAHPOOL,PARISH OF BOOTAHPOOL,       10009809,2008/02/28
   339,2203,BORAMBORAM,PARISH OF BORAMBORAM,       10009810,2008/02/28
   340,2204,BOREANG EAST,PARISH OF BOREANG EAST,       10009811,2008/02/28
   341,2205,BOREANG WEST,PARISH OF BOREANG WEST,       10009812,2008/02/28
   342,2206,BORHONEYGHURK,PARISH OF BORHONEYGHURK,       10009813,2008/02/28
   343,2207,BORODOMANIN,PARISH OF BORODOMANIN,       10009814,2008/02/28
   344,2208,BOROKA,PARISH OF BOROKA,       10009815,2008/02/28
   345,2209,BOROONDARA,PARISH OF BOROONDARA,       10009816,2008/02/28
   346,2210,BORRIYALLOAK,PARISH OF BORRIYALLOAK,       10009817,2008/02/28
   347,2211,BORUNG,PARISH OF BORUNG,       10009818,2008/02/28
   348,5103,BORUNG (T),TOWNSHIP OF BORUNG,       10009819,2008/02/28
   349,2212,BOULKA,PARISH OF BOULKA,       10009820,2008/02/28
   350,2213,BOURKA,PARISH OF BOURKA,       10009821,2008/02/28
   351,2215,BOW-WORRUNG,PARISH OF BOW-WORRUNG,       10009822,2008/02/28
   352,5104,BOWENVALE (T),TOWNSHIP OF BOWENVALE,       10009823,2008/02/28
   353,2214,BOWEYA,PARISH OF BOWEYA,       10009824,2008/02/28
   354,3337A,BOX HILL:AT (NUNAWADING),"AT BOX HILL, PARISH OF NUNAWADING",       10009825,2008/02/28
   355,2216,BRADFORD,PARISH OF BRADFORD,       10009826,2008/02/28
   356,2217,BRALAK,PARISH OF BRALAK,       10009827,2008/02/28
   357,2218,BRAMBURRA,PARISH OF BRAMBURRA,       10009828,2008/02/28
   358,2219,BRAMBY,PARISH OF BRAMBY,       10009829,2008/02/28
   359,2220,BRANJEE,PARISH OF BRANJEE,       10009830,2008/02/28
   360,2221,BRANKEET,PARISH OF BRANKEET,       10009831,2008/02/28
   361,2222,BRANXHOLME,PARISH OF BRANXHOLME,       10009832,2008/02/28
   362,5105,BRANXHOLME (T),TOWNSHIP OF BRANXHOLME,       10009833,2008/02/28
   363,5106,BRAYBROOK (T),TOWNSHIP OF BRAYBROOK,       10009834,2008/02/28
   364,5107,BREAMLEA (T),TOWNSHIP OF BREAMLEA,       10009835,2008/02/28
   365,2223,BRENANAH,PARISH OF BRENANAH,       10009836,2008/02/28
   366,2224,BREWSTER,PARISH OF BREWSTER,       10009837,2008/02/28
   367,2225,BRIAGOLONG,PARISH OF BRIAGOLONG,       10009838,2008/02/28
   368,5108,BRIAGOLONG (T),TOWNSHIP OF BRIAGOLONG,       10009839,2008/02/28
   369,2226,BRIDGEWATER,PARISH OF BRIDGEWATER,       10009840,2008/02/28
   370,5109,BRIDGEWATER (T),TOWNSHIP OF BRIDGEWATER,       10009841,2008/02/28
   372,5110,BRIGHT (T),TOWNSHIP OF BRIGHT,       10009843,2008/02/28
   373,5111,BRIM (T),TOWNSHIP OF BRIM,       10009844,2008/02/28
   375,2228,BRIMBOAL,PARISH OF BRIMBOAL,       10009846,2008/02/28
   376,2229,BRIMBONGA,PARISH OF BRIMBONGA,       10009847,2008/02/28
   378,2232,BRINDAT,PARISH OF BRINDAT,       10009849,2008/02/28
   379,2233,BRINGALBART,PARISH OF BRINGALBART,       10009850,2008/02/28
   381,5112,BRITANNIA CREEK (T),TOWNSHIP OF BRITANNIA CREEK,       10009852,2008/02/28
   382,2235,BROADFORD,PARISH OF BROADFORD,       10009853,2008/02/28
   383,5113,BROADFORD (T),TOWNSHIP OF BROADFORD,       10009854,2008/02/28
   385,5114,BROADMEADOWS (T),TOWNSHIP OF BROADMEADOWS,       10009856,2008/02/28
   386,2237,BROADWATER,PARISH OF BROADWATER,       10009857,2008/02/28
   388,5115,BROMLEY (T),TOWNSHIP OF BROMLEY,       10009859,2008/02/28
   389,5116,BROOKVILLE (T),TOWNSHIP OF BROOKVILLE,       10009860,2008/02/28
   391,5118,BROUGHTON (T),TOWNSHIP OF BROUGHTON,       10009862,2008/02/28
   392,2239,BRUARONG,PARISH OF BRUARONG,       10009863,2008/02/28
   393,5119,BRUARONG (T),TOWNSHIP OF BRUARONG,       10009864,2008/02/28
   395,2241,BRUK BRUK,PARISH OF BRUK BRUK,       10009866,2008/02/28
   396,2796A,BRUNSWICK:CITY OF (JIKA JIKA),"CITY OF BRUNSWICK, PARISH OF JIKA JIKA",       10009867,2008/02/28
   397,2242,BRUTHEN,PARISH OF BRUTHEN,       10009868,2008/02/28
   399,2243,BUANGOR,PARISH OF BUANGOR,       10009870,2008/02/28
   400,5121,BUANGOR (T),TOWNSHIP OF BUANGOR,       10009871,2008/02/28
