PART_CODE,PART,DESCRIPTION,UFI,UFI_CREATED
P,PART,Part of the Allotment has been transferred out.,       10012527,2008/02/28
N,WHOLE,Parcel is whole and no part has been been transferred out.,       10012528,2008/02/28
